repeat,fold,strategy,model,roc_auc,pr_auc,best_params,error,seconds
2,4,pathway,xgboost,1.0,1.0000000000000002,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,4.1
3,0,de_informed,elastic_net,1.0,1.0,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,11.0
3,0,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,14.9
3,0,de_informed,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,9.5
3,0,data_driven,elastic_net,1.0,1.0,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,2.8
3,0,data_driven,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,3.7
3,0,data_driven,xgboost,0.9947916666666666,0.9995748299319728,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,1.7
3,0,pathway,elastic_net,1.0,1.0,"{'clf__C': 1.0, 'clf__l1_ratio': 0.5}",,5.4
3,0,pathway,random_forest,0.9986979166666666,0.9998926116838488,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,8.4
3,0,pathway,xgboost,1.0,0.9999999999999999,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,4.9
3,1,de_informed,elastic_net,1.0,1.0,"{'clf__C': 0.01, 'clf__l1_ratio': 0.2}",,11.5
3,1,de_informed,random_forest,1.0,1.0,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,11.6
3,1,de_informed,xgboost,1.0,1.0,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 100}",,9.0
3,1,data_driven,elastic_net,1.0,1.0,"{'clf__C': 0.1, 'clf__l1_ratio': 0.2}",,3.4
3,1,data_driven,random_forest,1.0,0.9999999999999999,"{'clf__max_depth': 3, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",,3.6
3,1,data_driven,xgboost,1.0,0.9999999999999999,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 300}",,1.7
