pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS,2,94,149,57622,ENSG00000065325;ENSG00000115263,0.024858413836550415,0.04369054553090679,C2_CanonicalPathways
WP_PLEURAL_MESOTHELIOMA,4,436,149,57622,ENSG00000062038;ENSG00000104332;ENSG00000129474;ENSG00000165197,0.027079452569787967,0.046883828329782155,C2_CanonicalPathways
WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,3,252,149,57622,ENSG00000152785;ENSG00000240505;ENSG00000274736,0.02800262963389851,0.04776919172841511,C2_CanonicalPathways
WP_THERMOGENESIS,2,108,149,57622,ENSG00000115263;ENSG00000138669,0.03210173313653027,0.051010973203253575,C2_CanonicalPathways
REACTOME_SIGNALING_BY_VEGF,2,106,149,57622,ENSG00000101255;ENSG00000165197,0.031021519851005146,0.051010973203253575,C2_CanonicalPathways
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,3,261,149,57622,ENSG00000165197;ENSG00000240505;ENSG00000274736,0.030611934023549267,0.051010973203253575,C2_CanonicalPathways
REACTOME_SPHINGOLIPID_METABOLISM,2,107,149,57622,ENSG00000118777;ENSG00000249948,0.0315597818710549,0.051010973203253575,C2_CanonicalPathways
REACTOME_HEMOSTASIS,5,677,149,57622,ENSG00000138669;ENSG00000157193;ENSG00000163815;ENSG00000165197;ENSG00000204936,0.03184600631603325,0.051010973203253575,C2_CanonicalPathways
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,3,270,149,57622,ENSG00000070748;ENSG00000104888;ENSG00000114200,0.03334488654525208,0.052270362692557304,C2_CanonicalPathways
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,2,115,149,57622,ENSG00000156284;ENSG00000163347,0.03599682064138288,0.05567508259200552,C2_CanonicalPathways
WP_HIPPOMERLIN_SIGNALING_DYSREGULATION,2,120,149,57622,ENSG00000062038;ENSG00000129474,0.03888484555940336,0.059350553748563024,C2_CanonicalPathways
REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES,3,296,149,57622,ENSG00000103888;ENSG00000133800;ENSG00000172987,0.04192683182436485,0.06316249989125094,C2_CanonicalPathways
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,2,128,149,57622,ENSG00000167767;ENSG00000167916,0.04368165452936589,0.06496246058213388,C2_CanonicalPathways
KEGG_TIGHT_JUNCTION,2,131,149,57622,ENSG00000156284;ENSG00000163347,0.045534446244018374,0.0668607058772928,C2_CanonicalPathways
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,2,132,149,57622,ENSG00000163815;ENSG00000165197,0.04615842240134959,0.06692971248195691,C2_CanonicalPathways
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,3,312,149,57622,ENSG00000138669;ENSG00000168546;ENSG00000175832,0.047706380902403464,0.06832024919356545,C2_CanonicalPathways
WP_NUCLEAR_RECEPTORS_METAPATHWAY,3,314,149,57622,ENSG00000073734;ENSG00000134201;ENSG00000171617,0.04845503828593924,0.06854615172157259,C2_CanonicalPathways
REACTOME_SIGNALING_BY_WNT,3,317,149,57622,ENSG00000104332;ENSG00000138669;ENSG00000147655,0.049588838074965454,0.06930488212886737,C2_CanonicalPathways
WP_NEUROINFLAMMATION_AND_GLUTAMATERGIC_SIGNALING,2,140,149,57622,ENSG00000104888;ENSG00000110887,0.05126213984748677,0.0699577437918643,C2_CanonicalPathways
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,2,140,149,57622,ENSG00000092009;ENSG00000197561,0.05126213984748677,0.0699577437918643,C2_CanonicalPathways
REACTOME_METABOLISM_OF_STEROIDS,2,154,149,57622,ENSG00000073734;ENSG00000186198,0.06064910832003904,0.08180577401307591,C2_CanonicalPathways
WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS,2,156,149,57622,ENSG00000044012;ENSG00000197273,0.06203496715708903,0.08269210730976768,C2_CanonicalPathways
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,2,157,149,57622,ENSG00000065325;ENSG00000115263,0.06273194347637548,0.08269210730976768,C2_CanonicalPathways
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,3,357,149,57622,ENSG00000108381;ENSG00000110887;ENSG00000198650,0.06591599629574361,0.08539734724451684,C2_CanonicalPathways
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,2,162,149,57622,ENSG00000073734;ENSG00000179520,0.06625656251729754,0.08539734724451684,C2_CanonicalPathways
WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II,2,181,149,57622,ENSG00000134201;ENSG00000197165,0.08022032921639906,0.10225888119892627,C2_CanonicalPathways
WP_VITAMIN_D_RECEPTOR_PATHWAY,2,183,149,57622,ENSG00000104332;ENSG00000163295,0.08173957153754051,0.10306293802559455,C2_CanonicalPathways
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,2,193,149,57622,ENSG00000103375;ENSG00000118777,0.08946652030247845,0.1115926489794355,C2_CanonicalPathways
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,2,215,149,57622,ENSG00000115263;ENSG00000274736,0.1071699623780797,0.1318684941283949,C2_CanonicalPathways
REACTOME_KERATINIZATION,2,216,149,57622,ENSG00000167767;ENSG00000167916,0.10799574950170274,0.1318684941283949,C2_CanonicalPathways
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,2,220,149,57622,ENSG00000104332;ENSG00000147655,0.11131592023048076,0.13450673694516424,C2_CanonicalPathways
WP_MIRTARGETED_GENES_IN_LYMPHOCYTES,3,459,149,57622,ENSG00000071539;ENSG00000118777;ENSG00000163347,0.11675215645288578,0.13962113555190464,C2_CanonicalPathways
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,2,260,149,57622,ENSG00000163815;ENSG00000165197,0.14583642043738726,0.17087903808825175,C2_CanonicalPathways
