pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,4,33,182,57622,ENSG00000137673;ENSG00000149968;ENSG00000196611;ENSG00000275896,3.6675560474089676e-06,1.63775347634297e-05,C2_CanonicalPathways
WP_LACTATE_SHUTTLE_IN_GLIAL_CELLS,3,13,182,57622,ENSG00000080493;ENSG00000104267;ENSG00000167434,8.660080217703653e-06,3.738267960642077e-05,C2_CanonicalPathways
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN,3,13,182,57622,ENSG00000104267;ENSG00000133742;ENSG00000167434,8.660080217703653e-06,3.738267960642077e-05,C2_CanonicalPathways
KEGG_MEDICUS_PATHOGEN_SARS_COV_2_S_TO_ANGII_AT1R_NOX2_SIGNALING_PATHWAY,3,14,182,57622,ENSG00000149968;ENSG00000169429;ENSG00000196611,1.0996276162603896e-05,4.668910698548212e-05,C2_CanonicalPathways
PID_SYNDECAN_1_PATHWAY,4,46,182,57622,ENSG00000060718;ENSG00000123500;ENSG00000137673;ENSG00000196611,1.4164286599765042e-05,5.917016498934106e-05,C2_CanonicalPathways
WP_LNCRNA_IN_CANONICAL_WNT_SIGNALING_AND_COLORECTAL_CANCER,5,97,182,57622,ENSG00000106483;ENSG00000130600;ENSG00000140807;ENSG00000145423;ENSG00000185269,1.5152618599232964e-05,6.229409868573551e-05,C2_CanonicalPathways
REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_DUCTAL_CELLS,4,48,182,57622,ENSG00000060718;ENSG00000080493;ENSG00000104267;ENSG00000108244,1.6806279258865067e-05,6.801291137571957e-05,C2_CanonicalPathways
KEGG_STARCH_AND_SUCROSE_METABOLISM,4,50,182,57622,ENSG00000090402;ENSG00000135220;ENSG00000154269;ENSG00000197888,1.9793683195640182e-05,7.887021457955089e-05,C2_CanonicalPathways
WP_PROXIMAL_TUBULE_TRANSPORT,4,57,182,57622,ENSG00000066230;ENSG00000080493;ENSG00000104267;ENSG00000167434,3.3369632721317436e-05,0.00013095052840638206,C2_CanonicalPathways
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,7,291,182,57622,ENSG00000073737;ENSG00000124882;ENSG00000137673;ENSG00000149968;ENSG00000160182;ENSG00000168243;ENSG00000248144,4.2872326989398034e-05,0.00016573033866050882,C2_CanonicalPathways
