pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
GOBP_PROTEIN_COMPLEX_OLIGOMERIZATION,2,284,149,57622,ENSG00000163347;ENSG00000168079,0.16748040711575654,0.19535195912452563,GO_BP
GOBP_PROTEIN_POLYMERIZATION,2,285,149,57622,ENSG00000104435;ENSG00000168309,0.16839424462097757,0.19612383580107867,GO_BP
GOBP_RESPONSE_TO_INSULIN,2,287,149,57622,ENSG00000101255;ENSG00000198650,0.1702245089433466,0.19795914492963176,GO_BP
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,2,290,149,57622,ENSG00000103888;ENSG00000184544,0.17297622205307828,0.2008589563541715,GO_BP
GOBP_ACTIN_FILAMENT_BASED_PROCESS,4,843,149,57622,ENSG00000034971;ENSG00000104332;ENSG00000136546;ENSG00000168309,0.17529920836591556,0.20325303145854293,GO_BP
GOBP_MONONUCLEAR_CELL_DIFFERENTIATION,3,561,149,57622,ENSG00000103375;ENSG00000104332;ENSG00000269404,0.17802335262987143,0.2057981699049628,GO_BP
GOBP_PROTEIN_CATABOLIC_PROCESS,5,1149,149,57622,ENSG00000092009;ENSG00000101255;ENSG00000119147;ENSG00000171617;ENSG00000197561,0.177939973159726,0.2057981699049628,GO_BP
GOBP_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,2,296,149,57622,ENSG00000138669;ENSG00000179915,0.17850136827780105,0.20604460611295136,GO_BP
GOBP_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY,2,299,149,57622,ENSG00000103888;ENSG00000197561,0.18127425396448324,0.2086262863674082,GO_BP
GOBP_CELL_FATE_COMMITMENT,2,299,149,57622,ENSG00000104332;ENSG00000163497,0.18127425396448324,0.2086262863674082,GO_BP
GOBP_LYMPHOCYTE_ACTIVATION,4,857,149,57622,ENSG00000103375;ENSG00000104332;ENSG00000240505;ENSG00000269404,0.18243632087156353,0.20934433279952278,GO_BP
GOBP_EMBRYO_DEVELOPMENT,5,1159,149,57622,ENSG00000104332;ENSG00000120254;ENSG00000147655;ENSG00000162461;ENSG00000166292,0.1822783933662245,0.20934433279952278,GO_BP
GOBP_RHYTHMIC_PROCESS,2,301,149,57622,ENSG00000036672;ENSG00000185149,0.18312648100959608,0.20982680740127505,GO_BP
GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,3,573,149,57622,ENSG00000116748;ENSG00000118777;ENSG00000197165,0.1857454183358319,0.21251461097834887,GO_BP
GOBP_REGULATION_OF_MOLECULAR_FUNCTION,4,868,149,57622,ENSG00000101255;ENSG00000103888;ENSG00000182271;ENSG00000197561,0.18811125803068027,0.21490537261067436,GO_BP
GOBP_PROTEIN_TARGETING,2,310,149,57622,ENSG00000103888;ENSG00000186198,0.19149525315915136,0.21845059671234568,GO_BP
GOBP_HUMORAL_IMMUNE_RESPONSE,2,312,149,57622,ENSG00000197561;ENSG00000274736,0.193362024292747,0.22015413985449667,GO_BP
GOBP_CELL_CYCLE_PHASE_TRANSITION,3,585,149,57622,ENSG00000071539;ENSG00000109132;ENSG00000168309,0.19355453940935183,0.22015413985449667,GO_BP
GOBP_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,2,314,149,57622,ENSG00000062038;ENSG00000104332,0.1952311938920677,0.22173703481464038,GO_BP
GOBP_REGULATION_OF_ENDOCYTOSIS,2,316,149,57622,ENSG00000104888;ENSG00000204936,0.19710268804292444,0.22321090436302068,GO_BP
GOBP_CELL_ACTIVATION,5,1192,149,57622,ENSG00000103375;ENSG00000104332;ENSG00000204936;ENSG00000240505;ENSG00000269404,0.1968692925923542,0.22321090436302068,GO_BP
GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS,4,889,149,57622,ENSG00000092009;ENSG00000104332;ENSG00000147655;ENSG00000157193,0.1991008576470661,0.2251460279788044,GO_BP
