pathway,k_overlap,K_pathway_size_in_background,n_gene_set_size,N_background_size,overlap_genes,p_value,padj,collection
GOBP_RESPONSE_TO_VITAMIN_D,2,39,182,57622,ENSG00000101144;ENSG00000118785,0.006808468003124024,0.021765223014002907,GO_BP
GOBP_FLUID_TRANSPORT,2,39,182,57622,ENSG00000066405;ENSG00000103375,0.006808468003124024,0.021765223014002907,GO_BP
GOBP_SKELETAL_SYSTEM_MORPHOGENESIS,4,236,182,57622,ENSG00000060718;ENSG00000101144;ENSG00000105664;ENSG00000106483,0.0068751979496750664,0.02189063027176541,GO_BP
GOBP_REGULATION_OF_HORMONE_METABOLIC_PROCESS,2,41,182,57622,ENSG00000140274;ENSG00000140279,0.007503281307990218,0.023700840956984975,GO_BP
GOBP_TRANSEPITHELIAL_TRANSPORT,2,41,182,57622,ENSG00000066405;ENSG00000103375,0.007503281307990218,0.023700840956984975,GO_BP
GOBP_REGULATION_OF_OSSIFICATION,3,127,182,57622,ENSG00000101144;ENSG00000105664;ENSG00000185269,0.007757435468007022,0.02426405168996976,GO_BP
GOBP_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION,3,128,182,57622,ENSG00000101144;ENSG00000124882;ENSG00000167244,0.007925444019336857,0.02426405168996976,GO_BP
GOBP_PYRUVATE_METABOLIC_PROCESS,3,128,182,57622,ENSG00000080493;ENSG00000136872;ENSG00000163586,0.007925444019336857,0.02426405168996976,GO_BP
GOBP_POSITIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,2,42,182,57622,ENSG00000100604;ENSG00000167755,0.007862197755368353,0.02426405168996976,GO_BP
GOBP_ACID_SECRETION,2,42,182,57622,ENSG00000163586;ENSG00000165376,0.007862197755368353,0.02426405168996976,GO_BP
GOBP_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING,7,713,182,57622,ENSG00000060718;ENSG00000101144;ENSG00000134762;ENSG00000140807;ENSG00000145423;ENSG00000167244;ENSG00000183734,0.007863582416045537,0.02426405168996976,GO_BP
GOBP_FORMATION_OF_PRIMARY_GERM_LAYER,3,128,182,57622,ENSG00000060718;ENSG00000101144;ENSG00000145423,0.007925444019336857,0.02426405168996976,GO_BP
GOBP_BONE_MINERALIZATION,3,127,182,57622,ENSG00000101144;ENSG00000105664;ENSG00000185269,0.007757435468007022,0.02426405168996976,GO_BP
GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,9,1087,182,57622,ENSG00000101144;ENSG00000105664;ENSG00000106483;ENSG00000114374;ENSG00000124882;ENSG00000145423;ENSG00000162896;ENSG00000167244;ENSG00000243709,0.00803291427294217,0.024498849660007534,GO_BP
GOBP_REGULATION_OF_KERATINOCYTE_PROLIFERATION,2,43,182,57622,ENSG00000172016;ENSG00000188373,0.008228718893017448,0.024810834238037455,GO_BP
GOBP_RESPONSE_TO_ANGIOTENSIN,2,43,182,57622,ENSG00000104267;ENSG00000188257,0.008228718893017448,0.024810834238037455,GO_BP
GOBP_SUPEROXIDE_ANION_GENERATION,2,43,182,57622,ENSG00000140279;ENSG00000204936,0.008228718893017448,0.024810834238037455,GO_BP
GOBP_ORGANOPHOSPHATE_CATABOLIC_PROCESS,4,249,182,57622,ENSG00000080493;ENSG00000136872;ENSG00000154269;ENSG00000163586,0.00826735838531401,0.024833272734754535,GO_BP
GOBP_CELLULAR_RESPONSE_TO_OXIDATIVE_STRESS,4,250,182,57622,ENSG00000101144;ENSG00000148346;ENSG00000149968;ENSG00000163586,0.008381513725551282,0.02508152227646173,GO_BP
GOBP_INTESTINAL_ABSORPTION,2,44,182,57622,ENSG00000165376;ENSG00000170835,0.008602793647262562,0.02559939330962559,GO_BP
GOBP_CARDIAC_CHAMBER_MORPHOGENESIS,3,132,182,57622,ENSG00000060718;ENSG00000101144;ENSG00000145423,0.008618891214798566,0.02559939330962559,GO_BP
GOBP_EPIDERMAL_CELL_DIFFERENTIATION,4,253,182,57622,ENSG00000106483;ENSG00000124102;ENSG00000124882;ENSG00000172016,0.008730162396265348,0.025737812101582283,GO_BP
GOBP_OSTEOBLAST_DIFFERENTIATION,4,253,182,57622,ENSG00000101144;ENSG00000118785;ENSG00000145423;ENSG00000167244,0.008730162396265348,0.025737812101582283,GO_BP
GOBP_SECRETION_BY_TISSUE,2,45,182,57622,ENSG00000170835;ENSG00000198788,0.00898437118808004,0.026292498035704825,GO_BP
GOBP_XENOBIOTIC_METABOLIC_PROCESS,3,134,182,57622,ENSG00000073067;ENSG00000135220;ENSG00000197888,0.008978542675561307,0.026292498035704825,GO_BP
GOBP_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS,3,135,182,57622,ENSG00000080493;ENSG00000136872;ENSG00000163586,0.009161619541677036,0.026387253891695224,GO_BP
GOBP_REGULATION_OF_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,3,135,182,57622,ENSG00000080493;ENSG00000136872;ENSG00000167244,0.009161619541677036,0.026387253891695224,GO_BP
GOBP_CHEMICAL_HOMEOSTASIS,9,1111,182,57622,ENSG00000066230;ENSG00000080493;ENSG00000091138;ENSG00000104267;ENSG00000106483;ENSG00000148346;ENSG00000154269;ENSG00000163586;ENSG00000166869,0.009182499155778363,0.026387253891695224,GO_BP
GOBP_RESPONSE_TO_ACID_CHEMICAL,3,135,182,57622,ENSG00000134240;ENSG00000148346;ENSG00000149968,0.009161619541677036,0.026387253891695224,GO_BP
GOBP_RESPONSE_TO_ETHANOL,3,135,182,57622,ENSG00000066405;ENSG00000134240;ENSG00000163017,0.009161619541677036,0.026387253891695224,GO_BP
GOBP_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS,2,46,182,57622,ENSG00000131730;ENSG00000166165,0.009373400928081786,0.026647239781261073,GO_BP
GOBP_RESPONSE_TO_INTERLEUKIN_6,2,46,182,57622,ENSG00000148346;ENSG00000163017,0.009373400928081786,0.026647239781261073,GO_BP
GOBP_SENSORY_PERCEPTION_OF_BITTER_TASTE,2,46,182,57622,ENSG00000162896;ENSG00000170373,0.009373400928081786,0.026647239781261073,GO_BP
GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_TASTE,2,47,182,57622,ENSG00000162896;ENSG00000170373,0.00976983252150359,0.027383051715200203,GO_BP
GOBP_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION,2,47,182,57622,ENSG00000124882;ENSG00000167244,0.00976983252150359,0.027383051715200203,GO_BP
GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS,2,47,182,57622,ENSG00000140274;ENSG00000148346,0.00976983252150359,0.027383051715200203,GO_BP
GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,3,138,182,57622,ENSG00000101144;ENSG00000118785;ENSG00000183734,0.009723916836382615,0.027383051715200203,GO_BP
GOBP_RIBONUCLEOTIDE_CATABOLIC_PROCESS,3,139,182,57622,ENSG00000080493;ENSG00000136872;ENSG00000163586,0.009915721414972472,0.02769443595199329,GO_BP
GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,6,573,182,57622,ENSG00000080493;ENSG00000134240;ENSG00000136872;ENSG00000154269;ENSG00000163586;ENSG00000164398,0.010088157974413078,0.028077530586128708,GO_BP
GOBP_ACUTE_PHASE_RESPONSE,2,48,182,57622,ENSG00000148346;ENSG00000172016,0.01017361586319738,0.02811874384411498,GO_BP
GOBP_HYDROGEN_PEROXIDE_METABOLIC_PROCESS,2,48,182,57622,ENSG00000140274;ENSG00000140279,0.01017361586319738,0.02811874384411498,GO_BP
GOBP_REGULATION_OF_CELL_GROWTH,5,413,182,57622,ENSG00000118785;ENSG00000145423;ENSG00000168243;ENSG00000205277;ENSG00000275896,0.010356773896233698,0.028525923949487973,GO_BP
GOBP_HEART_MORPHOGENESIS,4,267,182,57622,ENSG00000060718;ENSG00000101144;ENSG00000145423;ENSG00000243709,0.010482333363483224,0.028772197783905676,GO_BP
GOBP_MUSCLE_CONTRACTION,5,416,182,57622,ENSG00000100604;ENSG00000105664;ENSG00000131730;ENSG00000133392;ENSG00000175084,0.01066032269529658,0.02916019541393841,GO_BP
GOBP_INORGANIC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE,3,143,182,57622,ENSG00000066230;ENSG00000103375;ENSG00000148346,0.010704926203941416,0.029181922117593725,GO_BP
GOBP_PROSTATE_GLAND_DEVELOPMENT,2,50,182,57622,ENSG00000101144;ENSG00000206075,0.011003038567869544,0.029790539796000538,GO_BP
GOBP_STRIATED_MUSCLE_CELL_APOPTOTIC_PROCESS,2,50,182,57622,ENSG00000101144;ENSG00000145423,0.011003038567869544,0.029790539796000538,GO_BP
GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,4,272,182,57622,ENSG00000080493;ENSG00000136872;ENSG00000154269;ENSG00000163586,0.011159244983503083,0.03011104748091001,GO_BP
GOBP_RESPONSE_TO_OXIDATIVE_STRESS,5,423,182,57622,ENSG00000101144;ENSG00000140279;ENSG00000148346;ENSG00000149968;ENSG00000163586,0.011392169093724125,0.03012300932461872,GO_BP
GOBP_REGULATION_OF_T_CELL_MIGRATION,2,51,182,57622,ENSG00000183734;ENSG00000188373,0.01142857891461665,0.03012300932461872,GO_BP
GOBP_TUBE_MORPHOGENESIS,8,954,182,57622,ENSG00000101144;ENSG00000105664;ENSG00000124882;ENSG00000145423;ENSG00000148346;ENSG00000166825;ENSG00000169429;ENSG00000184292,0.011339230466615299,0.03012300932461872,GO_BP
GOBP_EXOCRINE_SYSTEM_DEVELOPMENT,2,51,182,57622,ENSG00000101144;ENSG00000167244,0.01142857891461665,0.03012300932461872,GO_BP
GOBP_REGULATION_OF_BONE_REMODELING,2,51,182,57622,ENSG00000066405;ENSG00000118785,0.01142857891461665,0.03012300932461872,GO_BP
GOBP_NEGATIVE_REGULATION_OF_MUSCLE_CELL_APOPTOTIC_PROCESS,2,51,182,57622,ENSG00000101144;ENSG00000145423,0.01142857891461665,0.03012300932461872,GO_BP
GOBP_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS,6,588,182,57622,ENSG00000080493;ENSG00000124882;ENSG00000136872;ENSG00000145423;ENSG00000166869;ENSG00000179914,0.011346026138427062,0.03012300932461872,GO_BP
GOBP_SOMATIC_STEM_CELL_POPULATION_MAINTENANCE,2,52,182,57622,ENSG00000101144;ENSG00000183734,0.011861272975184729,0.030955977994252603,GO_BP
GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE,2,52,182,57622,ENSG00000162896;ENSG00000165376,0.011861272975184729,0.030955977994252603,GO_BP
